YearLow|OneyrTargetPrice|DividendShare|ChangeFromFiftydayMovingAverage|FiftydayMovingAverage|SharesOwned|PercentChangeFromTwoHundreddayMovingAverage|PricePaid|DaysLow|DividendYield|Commission|EPSEstimateNextQuarter|ChangeFromYearLow|ChangeFromYearHigh|EarningsShare|AverageDailyVolume|LastTradePriceOnly|YearHigh|EBITDA|Change_PercentChange|AnnualizedGain|ShortRatio|LastTradeDate|PriceSales|EPSEstimateCurrentYear|BookValue|u|Bid|AskRealtime|PreviousClose|DaysRangeRealtime|EPSEstimateNextYear|Volume|HoldingsGainPercent|PercentChange|TickerTrend|Ask|ChangeRealtime|PriceEPSEstimateNextYear|HoldingsGain|Change|MarketCapitalization|Name|HoldingsValue|DaysRange|AfterHoursChangeRealtime|symbol|ChangePercentRealtime|DaysValueChange|LastTradeTime|StockExchange|DividendPayDate|LastTradeRealtimeWithTime|Notes|MarketCapRealtime|ExDividendDate|PERatio|DaysValueChangeRealtime|ErrorIndicationreturnedforsymbolchangedinvalid|ChangeinPercent|HoldingsValueRealtime|PercentChangeFromFiftydayMovingAverage|PriceBook|ChangeFromTwoHundreddayMovingAverage|DaysHigh|PercentChangeFromYearLow|TradeDate|LastTradeWithTime|BidRealtime|YearRange|HighLimit|OrderBookRealtime|HoldingsGainRealtime|PEGRatio|Currency|LowLimit|HoldingsGainPercentRealtime|TwoHundreddayMovingAverage|PERatioRealtime|PercebtChangeFromYearHigh|Open|PriceEPSEstimateCurrentYear|MoreInfo
63.48|145.64|None|-17.87|122.47|None|-8.79%|None|103.40|None|None|-0.92|41.12|-35.40|-2.35|783934|104.60|140.00|-202.24M|-0.45 - -0.43%|None|6.50|8/14/2015|142.68|-3.22|16.67|2015-08-14 13:57:00 UTC+0000|104.50|None|105.05|None|-3.69|26318|None|-0.43%|None|105.01|None|None|None|-0.45|8.84B|Alnylam Pharmaceuticals, Inc.|None|103.40 - 105.99|None|ALNY|None|None|9:57am|NMS|None|None|None|None|None|None|None|None|-0.43%|None|-14.59%|6.30|-10.08|105.99|+64.78%|None|9:57am - <b>104.60</b>|None|63.48 - 140.00|None|None|None|-0.70|USD|None|None|114.68|None|-25.29%|104.36|None|None
30.47|49.90|0.72|-0.90|50.15|None|+12.39%|None|49.21|1.40|None|0.34|18.78|-2.66|1.29|5860450|49.25|51.91|535.26M|-0.07 - -0.14%|None|1.80|8/14/2015|8.16|1.22|10.98|2015-08-14 13:57:00 UTC+0000|49.25|None|49.32|None|1.50|126679|None|-0.14%|None|49.26|None|32.83|None|-0.07|14.90B|Altera Corporation|None|49.21 - 49.42|None|ALTR|None|None|9:57am|NMS|9/1/2015|None|None|None|8/6/2015|38.15|None|None|-0.14%|None|-1.80%|4.49|5.43|49.42|+61.63%|None|9:57am - <b>49.25</b>|None|30.47 - 51.91|None|None|None|3.97|USD|None|None|43.82|None|-5.12%|49.37|40.37|None
150.060|225.610|None|-6.276|194.331|None|+4.202%|None|187.000|None|None|1.130|37.995|-20.825|2.928|1853280|188.055|208.880|880.00M|-0.775 - -0.410%|None|2.900|8/14/2015|17.859|4.840|37.842|2015-08-14 13:56:00 UTC+0000|188.070|None|188.830|None|5.970|69696|None|-0.410%|None|188.630|None|31.500|None|-0.775|42.53B|Alexion Pharmaceuticals, Inc.|None|187.000 - 188.750|None|ALXN|None|None|9:56am|NMS|None|None|None|None|None|64.226|None|None|-0.410%|None|-3.230%|4.990|7.583|188.750|+25.320%|None|9:56am - <b>188.055</b>|None|150.060 - 208.880|None|None|None|2.320|USD|None|None|180.472|None|-9.970%|187.600|38.854|None
19.98|79.40|None|-5.71|69.18|None|+6.46%|None|62.54|None|None|1.78|43.49|-14.26|5.66|773916|63.47|77.73|153.98M|+0.07 - +0.11%|None|6.40|8/14/2015|6.71|5.44|23.10|2015-08-14 13:57:00 UTC+0000|63.34|None|63.40|None|7.70|24592|None|+0.11%|None|63.49|None|8.24|None|+0.07|1.96B|AMAG Pharmaceuticals, Inc.|None|62.54 - 63.84|None|AMAG|None|None|9:57am|NMS|None|None|None|None|None|11.20|None|None|+0.11%|None|-8.26%|2.74|3.85|63.84|+217.67%|None|9:57am - <b>63.47</b>|None|19.98 - 77.73|None|None|None|0.17|USD|None|None|59.62|None|-18.35%|63.40|11.67|None
28.96|105.45|None|-0.59|110.19|None|+30.08%|None|108.78|None|None|0.89|80.64|-19.59|1.95|3896030|109.60|129.19|67.66M|+0.44 - +0.40%|None|2.60|8/14/2015|13.77|3.07|8.47|2015-08-14 13:57:00 UTC+0000|109.43|None|109.16|None|3.64|209971|None|+0.40%|None|109.60|None|30.11|None|+0.44|3.43B|Ambarella, Inc.|None|108.78 - 110.75|None|AMBA|None|None|9:57am|NMS|None|None|None|None|None|56.09|None|None|+0.40%|None|-0.54%|12.89|25.34|110.75|+278.45%|None|9:57am - <b>109.60</b>|None|28.96 - 129.19|None|None|None|1.84|USD|None|None|84.26|None|-15.16%|109.51|35.70|None
14.86|19.50|None|-0.53|17.26|None|-26.17%|None|16.59|None|None|0.84|1.87|-10.80|21.60|486606|16.73|27.53|1.58B|+0.06 - +0.36%|None|5.20|8/14/2015|0.94|9.40|39.39|2015-08-14 13:55:00 UTC+0000|16.73|None|16.67|None|3.96|13605|None|+0.36%|None|16.75|None|4.22|None|+0.06|753.18M|Ambac Financial Group, Inc.|None|16.59 - 16.82|None|AMBC|None|None|9:55am|NMS|None|None|None|None|None|0.77|None|None|+0.36%|None|-3.07%|0.42|-5.93|16.82|+12.58%|None|9:55am - <b>16.73</b>|None|14.86 - 27.53|None|None|None|0.17|USD|None|None|22.66|None|-39.23%|16.59|1.78|None
52.73|88.38|None|-7.22|82.21|None|-2.03%|None|74.15|None|None|1.23|22.26|-12.19|4.59|615431|74.99|87.18|796.18M|+0.00 - +0.00%|None|4.80|8/14/2015|2.26|4.81|-2.66|2015-08-14 13:57:00 UTC+0000|74.85|None|74.99|None|5.37|29096|None|+0.00%|None|75.00|None|13.96|None|+0.00|5.43B|AMC Networks Inc.|None|74.15 - 75.01|None|AMCX|None|None|9:57am|NMS|None|None|None|None|None|16.33|None|None|+0.00%|None|-8.78%|None|-1.56|75.01|+42.22%|None|9:57am - <b>74.99</b>|None|52.73 - 87.18|None|None|None|1.36|USD|None|None|76.55|None|-13.98%|74.70|15.59|None
127.670|186.200|3.160|5.423|163.422|None|+5.324%|None|167.910|1.900|None|2.340|41.175|-12.965|7.548|3213630|168.845|181.810|9.77B|+0.265 - +0.157%|None|2.400|8/14/2015|6.156|9.750|36.206|2015-08-14 13:57:00 UTC+0000|168.780|None|168.580|None|10.710|226071|None|+0.157%|None|168.910|None|15.765|None|+0.265|128.03B|Amgen Inc.|None|167.910 - 169.290|None|AMGN|None|None|9:57am|NMS|9/8/2015|None|None|None|8/13/2015|22.370|None|None|+0.157%|None|+3.318%|4.656|8.535|169.290|+32.251%|None|9:57am - <b>168.845</b>|None|127.670 - 181.810|None|None|None|1.440|USD|None|None|160.310|None|-7.131%|168.090|17.317|None
11.55|2.87|0.10|-1.72|21.05|None|-28.26%|None|19.13|0.50|None|0.00|7.78|-23.30|1.64|102252|19.33|42.63|32.91M|-0.02 - -0.10%|None|2.60|8/14/2015|0.73|nan|6.37|2015-08-14 13:53:00 UTC+0000|19.19|None|19.35|None|None|1714|None|-0.10%|None|19.38|None|None|None|-0.02|179.58M|Allied Motion Technologies, Inc|None|19.13 - 19.38|None|AMOT|None|None|9:53am|NGM|6/4/2015|None|None|None|5/19/2015|11.80|None|None|-0.10%|None|-8.19%|3.04|-7.62|19.38|+67.36%|None|9:53am - <b>19.33</b>|None|11.55 - 42.63|None|None|None|0.00|USD|None|None|26.95|None|-54.66%|19.38|None|None
83.500|None|None|-3.603|100.048|None|-2.408%|None|96.170|None|None|0.000|12.945|-6.955|None|58158|96.445|103.400|0.00|+0.185 - +0.192%|None|0.000|8/14/2015|None|None|0.000|2015-08-14 13:52:00 UTC+0000|96.360|None|96.260|None|None|1140|None|+0.192%|None|96.430|None|None|None|+0.185|None|Vanguard Russell 2000 Index Fun|None|96.170 - 96.445|None|VTWO|None|None|9:52am|NGM|12/29/2014|None|None|None|12/22/2014|None|None|None|+0.192%|None|-3.601%|None|-2.379|96.445|+15.503%|None|9:52am - <b>96.445</b>|None|83.500 - 103.400|None|None|None|0.000|USD|None|None|98.824|None|-6.726%|96.170|None|None
38.41|45.50|1.52|1.38|40.73|None|-1.80%|None|41.98|3.60|None|0.71|3.70|-7.36|2.38|391055|42.11|49.47|621.40M|+0.03 - +0.07%|None|3.90|8/14/2015|1.38|2.45|19.83|2015-08-14 13:56:00 UTC+0000|42.06|None|42.08|None|2.62|10731|None|+0.07%|None|42.11|None|16.07|None|+0.03|3.48B|Vectren Corporation Common Stoc|None|41.98 - 42.28|None|VVC|None|None|9:56am|NYQ|9/1/2015|None|None|None|8/13/2015|17.69|None|None|+0.07%|None|+3.38%|2.12|-0.77|42.28|+9.63%|None|9:56am - <b>42.11</b>|None|38.41 - 49.47|None|None|None|3.13|USD|None|None|42.88|None|-14.88%|41.98|17.19|None
14.16|15.50|0.00|-3.26|20.03|None|-9.87%|None|16.77|0.00|None|0.50|2.61|-9.98|-4.87|227678|16.77|26.75|0.00|-0.18 - -1.06%|None|49.00|8/14/2015|0.57|2.65|26.89|2015-08-14 13:57:00 UTC+0000|16.58|None|16.95|None|2.41|7961|None|-1.06%|None|17.00|None|6.96|None|-0.18|633.94M|Walter Investment Management Co|None|16.77 - 16.98|None|WAC|None|None|9:57am|NYQ|11/15/2011|None|None|None|9/20/2011|None|None|None|-1.06%|None|-16.29%|0.63|-1.84|16.98|+18.43%|None|9:57am - <b>16.77</b>|None|14.16 - 26.75|None|None|None|-1.12|USD|None|None|18.61|None|-37.31%|16.81|6.28|None
38.19|57.00|None|3.26|43.99|None|-4.46%|None|47.03|None|None|0.30|9.06|-18.31|0.45|255286|47.25|65.56|47.33M|-0.28 - -0.59%|None|6.30|8/14/2015|5.42|1.17|8.54|2015-08-14 13:53:00 UTC+0000|47.06|None|47.53|None|1.46|5108|None|-0.59%|None|47.53|None|32.36|None|-0.28|1.69B|WageWorks, Inc. Common Stock|None|47.03 - 47.66|None|WAGE|None|None|9:53am|NYQ|None|None|None|None|None|105.00|None|None|-0.59%|None|+7.42%|5.57|-2.21|47.66|+23.72%|None|9:53am - <b>47.25</b>|None|38.19 - 65.56|None|None|None|1.87|USD|None|None|49.46|None|-27.93%|47.22|40.38|None
93.56|133.15|0.00|-1.73|130.74|None|+1.53%|None|128.39|0.00|None|1.94|35.45|-8.38|5.54|470898|129.01|137.39|675.47M|+0.39 - +0.30%|None|4.60|8/14/2015|5.21|5.84|23.49|2015-08-14 13:57:00 UTC+0000|128.37|None|128.62|None|6.41|15383|None|+0.30%|None|128.60|None|20.13|None|+0.39|10.61B|Waters Corporation Common Stock|None|128.39 - 129.01|None|WAT|None|None|9:57am|NYQ|None|None|None|None|None|23.29|None|None|+0.30%|None|-1.32%|5.47|1.95|129.01|+37.89%|None|9:57am - <b>129.01</b>|None|93.56 - 137.39|None|None|None|2.37|USD|None|None|127.06|None|-6.10%|128.40|22.09|None
55.89|68.55|None|-7.21|63.95|None|-17.64%|None|56.26|None|None|1.32|0.85|-30.18|4.83|564616|56.74|86.92|490.88M|+0.41 - +0.73%|None|8.00|8/14/2015|0.31|4.54|42.86|2015-08-14 13:57:00 UTC+0000|56.64|None|56.33|None|5.02|12408|None|+0.73%|None|56.73|None|11.30|None|+0.41|2.47B|WESCO International, Inc. Commo|None|56.26 - 56.78|None|WCC|None|None|9:57am|NYQ|None|None|None|None|None|11.74|None|None|+0.73%|None|-11.28%|1.31|-12.15|56.78|+1.52%|None|9:57am - <b>56.74</b>|None|55.89 - 86.92|None|None|None|1.45|USD|None|None|68.89|None|-34.72%|56.32|12.50|None
65.19|89.67|1.52|0.04|88.37|None|+3.73%|None|88.22|1.70|None|0.80|23.22|-3.37|3.01|71111|88.41|91.78|72.56M|-0.17 - -0.19%|None|4.60|8/14/2015|3.34|3.05|10.77|2015-08-14 13:41:00 UTC+0000|88.40|None|88.58|None|3.36|3605|None|-0.19%|None|88.86|None|26.31|None|-0.17|1.28B|WD-40 Company|None|88.22 - 88.64|None|WDFC|None|None|9:41am|NMS|7/31/2015|None|None|None|7/15/2015|29.36|None|None|-0.19%|None|+0.05%|8.22|3.18|88.64|+35.62%|None|9:41am - <b>88.41</b>|None|65.19 - 91.78|None|None|None|2.30|USD|None|None|85.23|None|-3.67%|88.22|28.99|None
23.50|31.42|0.20|0.73|27.46|None|-3.17%|None|27.94|0.70|None|0.47|4.69|-5.23|1.57|635222|28.19|33.42|346.35M|+0.10 - +0.36%|None|8.80|8/14/2015|0.95|1.66|12.22|2015-08-14 13:55:00 UTC+0000|28.18|None|28.09|None|1.83|20387|None|+0.36%|None|28.24|None|15.40|None|+0.10|2.03B|Werner Enterprises, Inc.|None|27.94 - 28.32|None|WERN|None|None|9:55am|NMS|7/21/2015|None|None|None|7/1/2015|17.94|None|None|+0.36%|None|+2.66%|2.30|-0.92|28.32|+19.96%|None|9:55am - <b>28.19</b>|None|23.50 - 33.42|None|None|None|1.22|USD|None|None|29.11|None|-15.65%|27.94|16.98|None
41.37|58.50|1.85|1.39|54.97|None|+1.89%|None|55.76|3.30|None|1.26|14.99|-2.72|3.33|258012|56.36|59.08|436.02M|-0.03 - -0.05%|None|6.00|8/14/2015|1.06|3.07|25.47|2015-08-14 13:57:00 UTC+0000|56.40|None|56.39|None|3.02|14341|None|-0.05%|None|56.50|None|18.66|None|-0.03|2.80B|WGL Holdings IncCommon Stock|None|55.76 - 56.65|None|WGL|None|None|9:57am|NYQ|8/1/2015|None|None|None|7/8/2015|16.92|None|None|-0.05%|None|+2.52%|2.21|1.04|56.65|+36.23%|None|9:57am - <b>56.36</b>|None|41.37 - 59.08|None|None|None|2.83|USD|None|None|55.32|None|-4.60%|56.35|18.36|None
50.52|69.53|1.46|-4.28|57.77|None|-11.85%|None|53.22|2.60|None|0.28|2.97|-12.75|1.10|202334|53.49|66.24|620.40M|-0.05 - -0.09%|None|11.70|8/14/2015|8.33|1.06|5.69|2015-08-14 13:57:00 UTC+0000|53.25|None|53.54|None|1.45|3916|None|-0.09%|None|53.76|None|36.89|None|-0.05|11.71B|Western Gas Equity Partners, LP|None|53.22 - 53.72|None|WGP|None|None|9:57am|NYQ|8/21/2015|None|None|None|7/29/2015|48.76|None|None|-0.09%|None|-7.40%|9.42|-7.19|53.72|+5.88%|None|9:57am - <b>53.49</b>|None|50.52 - 66.24|None|None|None|1.47|USD|None|None|60.68|None|-19.25%|53.39|50.46|None
11.03|14.58|1.42|0.06|12.35|None|-1.33%|None|12.41|11.30|None|0.36|1.38|-2.24|1.20|36242|12.41|14.65|0.00|-0.06 - -0.48%|None|1.10|8/14/2015|4.61|1.45|15.01|2015-08-14 13:48:00 UTC+0000|12.36|None|12.47|None|1.45|1297|None|-0.48%|None|12.45|None|8.56|None|-0.06|185.93M|WhiteHorse Finance, Inc.|None|12.41 - 12.45|None|WHF|None|None|9:48am|NMS|7/2/2015|None|None|None|6/17/2015|10.36|None|None|-0.48%|None|+0.47%|0.83|-0.17|12.45|+12.51%|None|9:48am - <b>12.41</b>|None|11.03 - 14.65|None|None|None|0.83|USD|None|None|12.58|None|-15.29%|12.43|8.56|None
29.36|46.50|0.08|-6.02|39.36|None|-15.76%|None|33.34|0.20|None|0.49|3.98|-15.16|1.83|123911|33.34|48.50|73.04M|-0.17 - -0.51%|None|2.90|8/14/2015|0.64|2.08|24.84|2015-08-14 13:52:00 UTC+0000|33.20|None|33.51|None|2.76|2978|None|-0.51%|None|33.40|None|12.08|None|-0.17|691.70M|Encore Wire Corporation|None|33.34 - 33.51|None|WIRE|None|None|9:52am|NMS|7/24/2015|None|None|None|7/8/2015|18.22|None|None|-0.51%|None|-15.30%|1.35|-6.24|33.51|+13.56%|None|9:52am - <b>33.34</b>|None|29.36 - 48.50|None|None|None|1.59|USD|None|None|39.58|None|-31.26%|33.35|16.03|None
15.91|30.70|None|-2.65|24.78|None|+1.00%|None|21.45|None|None|-0.19|6.22|-6.50|-1.46|268928|22.13|28.63|-51.71M|+0.21 - +0.96%|None|2.90|8/14/2015|4.99|-0.85|0.13|2015-08-14 13:57:00 UTC+0000|22.04|None|21.92|None|-0.49|14231|None|+0.96%|None|22.13|None|None|None|+0.21|866.50M|Wix.com Ltd.|None|21.45 - 22.14|None|WIX|None|None|9:57am|NMS|None|None|None|None|None|None|None|None|+0.96%|None|-10.68%|164.81|0.22|22.14|+39.09%|None|9:57am - <b>22.13</b>|None|15.91 - 28.63|None|None|None|2.53|USD|None|None|21.91|None|-22.70%|21.98|None|None
11.12|34.33|0.00|-4.06|16.13|None|-50.61%|None|12.01|0.00|None|-0.85|0.95|-32.03|-8.00|338086|12.07|44.10|159.62M|-0.01 - -0.08%|None|6.20|8/14/2015|0.16|-4.40|-24.20|2015-08-14 13:56:00 UTC+0000|12.02|None|12.08|None|-1.61|92729|None|-0.08%|None|12.10|None|None|None|-0.01|216.86M|Westmoreland Coal Company|None|12.01 - 12.72|None|WLB|None|None|9:56am|NGM|None|None|None|None|9/8/2003|None|None|None|-0.08%|None|-25.16%|None|-12.37|12.72|+8.54%|None|9:56am - <b>12.07</b>|None|11.12 - 44.10|None|None|None|-0.27|USD|None|None|24.44|None|-72.63%|12.06|None|None
9.85|20.00|None|-0.33|10.84|None|-21.29%|None|10.30|None|None|0.23|0.66|-8.41|1.22|88103|10.51|18.92|10.42M|-0.44 - -4.02%|None|1.10|8/14/2015|0.72|0.92|4.32|2015-08-14 13:57:00 UTC+0000|10.52|None|10.95|None|1.18|63278|None|-4.02%|None|10.58|None|8.91|None|-0.44|82.18M|Willdan Group, Inc.|None|10.30 - 10.62|None|WLDN|None|None|9:57am|NGM|None|None|None|None|None|8.60|None|None|-4.02%|None|-3.09%|2.53|-2.84|10.62|+6.70%|None|9:57am - <b>10.51</b>|None|9.85 - 18.92|None|None|None|0.00|USD|None|None|13.35|None|-44.45%|10.50|11.42|None
17.08|37.08|None|-6.38|25.69|None|-40.90%|None|19.26|None|None|-0.08|2.23|-73.61|-2.89|7435620|19.31|92.92|1.63B|+0.12 - +0.63%|None|1.70|8/14/2015|1.48|-0.39|32.82|2015-08-14 13:57:00 UTC+0000|19.30|None|19.19|None|0.23|720148|None|+0.63%|None|19.34|None|83.96|None|+0.12|3.94B|Whiting Petroleum Corporation C|None|19.26 - 19.74|None|WLL|None|None|9:57am|NYQ|None|None|None|None|None|None|None|None|+0.63%|None|-24.84%|0.58|-13.36|19.74|+13.06%|None|9:57am - <b>19.31</b>|None|17.08 - 92.92|None|None|None|-4.92|USD|None|None|32.67|None|-79.22%|19.26|None|None
0.1600|0.6800|0.0400|-0.1615|0.3259|None|-76.9096%|None|None|21.1000|None|0.0000|0.0044|-6.6756|-6.6260|1830170|0.1644|6.8400|0.00|+0.0000 - +0.0000%|None|0.0000|7/7/2015|None|-5.7100|0.0000|2015-07-07 20:02:00 UTC+0000|None|None|0.1644|None|-4.6600|0|None|+0.0000%|None|None|None|None|None|+0.0000|None|Walter Energy, Inc. Common Stoc|None|None|None|WLT|None|None|4:02pm|NYQ|12/5/2014|None|None|None|11/6/2014|None|None|None|+0.0000%|None|-49.5523%|None|-0.5476|None|+2.7500%|None|4:02pm - <b>0.1644</b>|None|0.1600 - 6.8400|None|None|None|0.0000|USD|None|None|0.7120|None|-97.5965%|0.1644|None|None
10.66|25.00|0.00|-1.40|12.22|None|-22.38%|None|10.82|0.00|None|0.21|0.16|-14.44|3.00|18675|10.82|25.26|0.00|-0.10 - -0.92%|None|1.90|8/14/2015|31.87|0.50|24.54|2015-08-14 13:47:00 UTC+0000|10.82|None|10.92|None|0.75|201|None|-0.92%|None|10.86|None|14.43|None|-0.10|83.34M|Firsthand Technology Value Fund|None|10.82 - 10.87|None|SVVC|None|None|9:47am|NMS|12/11/2014|None|None|None|12/3/2014|3.61|None|None|-0.92%|None|-11.43%|0.45|-3.12|10.87|+1.50%|None|9:47am - <b>10.82</b>|None|10.66 - 25.26|None|None|None|0.00|USD|None|None|13.94|None|-57.17%|10.87|21.64|None
18.530|29.810|None|-0.070|23.055|None|-8.677%|None|22.820|None|None|0.590|4.455|-6.455|1.369|2209130|22.985|29.440|619.60M|+0.105 - +0.459%|None|3.900|8/14/2015|0.762|1.700|4.007|2015-08-14 13:58:00 UTC+0000|22.960|None|22.880|None|1.940|52425|None|+0.459%|None|22.980|None|11.848|None|+0.105|3.28B|Swift Transportation Company Cl|None|22.820 - 23.030|None|SWFT|None|None|9:58am|NYQ|None|None|None|None|None|16.790|None|None|+0.459%|None|-0.305%|5.710|-2.184|23.030|+24.042%|None|9:58am - <b>22.985</b>|None|18.530 - 29.440|None|None|None|0.860|USD|None|None|25.169|None|-21.926%|22.900|13.521|None
21.41|33.76|None|0.83|24.54|None|-20.08%|None|24.49|None|None|0.32|3.96|-23.76|-0.32|569733|25.37|49.13|38.68M|+0.69 - +2.80%|None|6.30|8/14/2015|1.32|1.05|11.10|2015-08-14 13:57:00 UTC+0000|25.32|None|24.68|None|1.43|48885|None|+2.80%|None|25.39|None|17.74|None|+0.69|816.99M|Sierra Wireless, Inc.|None|24.49 - 25.45|None|SWIR|None|None|9:57am|NMS|None|None|None|None|None|None|None|None|+2.80%|None|+3.36%|2.22|-6.37|25.45|+18.50%|None|9:57am - <b>25.37</b>|None|21.41 - 49.13|None|None|None|0.27|USD|None|None|31.74|None|-48.36%|24.66|24.16|None
79.03|116.09|2.20|-1.46|106.09|None|+3.56%|None|104.49|2.10|None|1.77|25.60|-6.55|4.90|1119780|104.63|111.18|1.87B|+0.13 - +0.12%|None|3.60|8/14/2015|1.41|5.82|37.75|2015-08-14 13:58:00 UTC+0000|104.64|None|104.50|None|6.54|75966|None|+0.12%|None|104.68|None|16.00|None|+0.13|16.03B|Stanley Black & Decker, Inc. Co|None|104.49 - 104.80|None|SWK|None|None|9:58am|NYQ|9/22/2015|None|None|None|6/1/2015|21.34|None|None|+0.12%|None|-1.38%|2.77|3.60|104.80|+32.39%|None|9:58am - <b>104.63</b>|None|79.03 - 111.18|None|None|None|1.69|USD|None|None|101.03|None|-5.89%|104.80|17.98|None
44.0600|119.2000|1.0400|-8.6283|97.7654|None|-7.3756%|None|88.2200|1.2000|None|1.5800|45.0771|-23.7429|3.8280|4059750|89.1371|112.8800|1.11B|-0.5029 - -0.5610%|None|1.9000|8/14/2015|5.5227|5.2700|15.9270|2015-08-14 13:58:00 UTC+0000|89.0200|None|89.6400|None|6.1900|262541|None|-0.5610%|None|89.2100|None|14.4002|None|-0.5029|17.00B|Skyworks Solutions, Inc.|None|88.2200 - 89.3500|None|SWKS|None|None|9:58am|NMS|8/27/2015|None|None|None|8/4/2015|23.2856|None|None|-0.5610%|None|-8.8255%|5.6282|-7.0979|89.3500|+102.3084%|None|9:58am - <b>89.1371</b>|None|44.0600 - 112.8800|None|None|None|0.8400|USD|None|None|96.2350|None|-21.0338%|88.7500|16.9141|None
16.20|26.66|0.00|-2.39|20.09|None|-26.46%|None|17.65|0.00|None|0.14|1.50|-23.53|-0.66|7969770|17.70|41.23|2.07B|+0.00 - +0.00%|None|5.10|8/14/2015|1.89|0.38|16.27|2015-08-14 13:58:00 UTC+0000|17.70|None|17.70|None|0.65|650791|None|+0.00%|None|17.71|None|27.23|None|+0.00|6.76B|Southwestern Energy Company Com|None|17.65 - 18.09|None|SWN|None|None|9:58am|NYQ|None|None|None|None|4/18/2000|None|None|None|+0.00%|None|-11.90%|1.09|-6.37|18.09|+9.26%|None|9:58am - <b>17.70</b>|None|16.20 - 41.23|None|None|None|-20.98|USD|None|None|24.07|None|-57.07%|17.77|46.58|None
48.23|60.50|1.62|0.07|54.97|None|-1.76%|None|54.77|2.90|None|1.30|6.81|-9.16|2.93|177111|55.04|64.20|552.64M|+0.25 - +0.46%|None|3.70|8/14/2015|1.11|3.13|32.99|2015-08-14 13:56:00 UTC+0000|None|None|54.79|None|3.35|8417|None|+0.46%|None|None|None|16.43|None|+0.25|2.59B|Southwest Gas Corporation Commo|None|54.77 - 55.13|None|SWX|None|None|9:56am|NYQ|9/1/2015|None|None|None|8/13/2015|18.78|None|None|+0.46%|None|+0.13%|1.66|-0.99|55.13|+14.12%|None|9:56am - <b>55.04</b>|None|48.23 - 64.20|None|None|None|4.38|USD|None|None|56.03|None|-14.27%|54.77|17.58|None
66.72|92.25|0.48|-3.00|77.42|None|-4.80%|None|74.21|0.70|None|1.31|7.70|-12.63|3.77|62694|74.42|87.05|97.40M|+0.11 - +0.15%|None|4.60|8/14/2015|1.23|4.50|27.36|2015-08-14 13:45:00 UTC+0000|74.01|None|74.31|None|5.17|1576|None|+0.15%|None|74.92|None|14.39|None|+0.11|950.86M|Standex International Corporati|None|74.21 - 74.53|None|SXI|None|None|9:45am|NYQ|8/25/2015|None|None|None|8/6/2015|19.72|None|None|+0.15%|None|-3.87%|2.72|-3.76|74.53|+11.54%|None|9:45am - <b>74.42</b>|None|66.72 - 87.05|None|None|None|1.38|USD|None|None|78.18|None|-14.51%|74.21|16.54|None
20.330|24.140|0.600|-1.502|22.907|None|-11.464%|None|21.060|2.800|None|0.510|1.075|-5.915|1.091|4055600|21.405|27.320|1.81B|+0.165 - +0.777%|None|2.300|8/14/2015|2.310|1.840|8.645|2015-08-14 13:57:00 UTC+0000|21.400|None|21.240|None|1.990|286645|None|+0.777%|None|21.410|None|10.756|None|+0.165|14.60B|Symantec Corporation|None|21.060 - 21.455|None|SYMC|None|None|9:57am|NMS|6/24/2015|None|None|None|6/8/2015|19.620|None|None|+0.777%|None|-6.557%|2.457|-2.772|21.455|+5.288%|None|9:57am - <b>21.405</b>|None|20.330 - 27.320|None|None|None|1.490|USD|None|None|24.177|None|-21.651%|21.220|11.633|None
58.22|95.46|None|-9.35|81.36|None|-15.45%|None|71.81|None|None|1.67|13.79|-30.49|2.89|1073990|72.01|102.50|340.02M|-1.17 - -1.60%|None|2.80|8/14/2015|1.61|6.92|21.25|2015-08-14 13:58:00 UTC+0000|71.98|None|73.18|None|7.74|111071|None|-1.60%|None|72.03|None|9.30|None|-1.17|2.70B|Synaptics Incorporated|None|71.81 - 73.10|None|SYNA|None|None|9:58am|NMS|None|None|None|None|None|24.92|None|None|-1.60%|None|-11.50%|3.44|-13.16|73.10|+23.69%|None|9:58am - <b>72.01</b>|None|58.22 - 102.50|None|None|None|0.71|USD|None|None|85.17|None|-29.75%|73.10|10.41|None
38.75|51.13|0.00|-0.50|44.24|None|-7.06%|None|43.47|0.00|None|0.81|4.99|-9.25|2.77|236858|43.74|52.99|259.12M|+0.16 - +0.37%|None|4.10|8/14/2015|3.95|2.75|12.50|2015-08-14 13:57:00 UTC+0000|43.56|None|43.58|None|3.07|16450|None|+0.37%|None|43.77|None|14.25|None|+0.16|3.67B|Syntel, Inc.|None|43.47 - 43.87|None|SYNT|None|None|9:57am|NMS|12/28/2012|None|None|None|12/14/2012|15.79|None|None|+0.37%|None|-1.14%|3.49|-3.32|43.87|+12.88%|None|9:57am - <b>43.74</b>|None|38.75 - 52.99|None|None|None|1.06|USD|None|None|47.06|None|-17.46%|43.70|15.91|None
