YearLow|OneyrTargetPrice|DividendShare|ChangeFromFiftydayMovingAverage|FiftydayMovingAverage|SharesOwned|PercentChangeFromTwoHundreddayMovingAverage|PricePaid|DaysLow|DividendYield|Commission|EPSEstimateNextQuarter|ChangeFromYearLow|ChangeFromYearHigh|EarningsShare|AverageDailyVolume|LastTradePriceOnly|YearHigh|EBITDA|Change_PercentChange|AnnualizedGain|ShortRatio|LastTradeDate|PriceSales|EPSEstimateCurrentYear|BookValue|u|Bid|AskRealtime|PreviousClose|DaysRangeRealtime|EPSEstimateNextYear|Volume|HoldingsGainPercent|PercentChange|TickerTrend|Ask|ChangeRealtime|PriceEPSEstimateNextYear|HoldingsGain|Change|MarketCapitalization|Name|HoldingsValue|DaysRange|AfterHoursChangeRealtime|symbol|ChangePercentRealtime|DaysValueChange|LastTradeTime|StockExchange|DividendPayDate|LastTradeRealtimeWithTime|Notes|MarketCapRealtime|ExDividendDate|PERatio|DaysValueChangeRealtime|ErrorIndicationreturnedforsymbolchangedinvalid|ChangeinPercent|HoldingsValueRealtime|PercentChangeFromFiftydayMovingAverage|PriceBook|ChangeFromTwoHundreddayMovingAverage|DaysHigh|PercentChangeFromYearLow|TradeDate|LastTradeWithTime|BidRealtime|YearRange|HighLimit|OrderBookRealtime|HoldingsGainRealtime|PEGRatio|Currency|LowLimit|HoldingsGainPercentRealtime|TwoHundreddayMovingAverage|PERatioRealtime|PercebtChangeFromYearHigh|Open|PriceEPSEstimateCurrentYear|MoreInfo
19.24|41.71|None|3.41|31.80|None|+11.75%|None|34.94|None|None|0.12|15.97|-3.28|0.13|582181|35.21|38.49|8.48M|-0.24 - -0.68%|None|10.50|8/14/2015|6.47|0.05|1.92|2015-08-14 14:04:00 UTC+0000|35.17|None|35.45|None|0.32|45182|None|-0.68%|None|35.29|None|110.03|None|-0.24|1.36B|ZELTIQ Aesthetics, Inc.|None|34.94 - 35.41|None|ZLTQ|None|None|10:04am|NMS|None|None|None|None|None|272.95|None|None|-0.68%|None|+10.71%|18.49|3.70|35.41|+83.00%|None|10:04am - <b>35.21</b>|None|19.24 - 38.49|None|None|None|23.11|USD|None|None|31.51|None|-8.52%|35.28|704.20|None
94.73|127.11|0.88|0.22|113.34|None|-1.68%|None|None|0.80|None|0.00|18.83|-8.28|3.92|1134540|113.56|121.84|0.00|+0.00 - +0.00%|None|0.00|6/26/2015|None|6.36|0.00|2015-06-26 20:07:00 UTC+0000|None|None|113.56|None|6.92|0|None|+0.00%|None|None|None|None|None|+0.00|None|Zimmer Holdings, Inc. Common St|None|None|None|ZMH|None|None|4:07pm|NYQ|7/14/2015|None|None|None|5/13/2015|None|None|None|+0.00%|None|+0.19%|None|-1.94|None|+19.88%|None|4:07pm - <b>113.56</b>|None|94.73 - 121.84|None|None|None|0.00|USD|None|None|115.50|None|-6.80%|113.56|None|None
27.09|38.71|None|0.15|41.98|None|+17.76%|None|42.10|None|None|0.04|15.04|-4.48|0.04|622164|42.13|46.61|15.04M|-0.19 - -0.45%|None|12.40|8/14/2015|4.34|0.07|6.35|2015-08-14 14:04:00 UTC+0000|42.14|None|42.32|None|0.15|33572|None|-0.45%|None|42.21|None|280.87|None|-0.19|813.74M|Zoe's Kitchen, Inc. Common Stoc|None|42.10 - 42.70|None|ZOES|None|None|10:04am|NYQ|None|None|None|None|None|1203.71|None|None|-0.45%|None|+0.37%|6.67|6.35|42.70|+55.52%|None|10:04am - <b>42.13</b>|None|27.09 - 46.61|None|None|None|19.75|USD|None|None|35.78|None|-9.61%|42.36|601.86|None
28.00|71.75|None|-6.99|58.36|None|+1.34%|None|51.15|None|None|-0.99|23.37|-13.62|-4.17|404950|51.37|64.99|-82.68M|-2.13 - -3.98%|None|6.80|8/14/2015|None|-4.14|9.10|2015-08-14 14:05:00 UTC+0000|51.37|None|53.50|None|-3.78|112797|None|-3.98%|None|51.46|None|None|None|-2.13|1.29B|ZS Pharma, Inc.|None|51.15 - 53.33|None|ZSPH|None|None|10:05am|NGM|None|None|None|None|None|None|None|None|-3.98%|None|-11.97%|5.88|0.68|53.33|+83.46%|None|10:05am - <b>51.37</b>|None|28.00 - 64.99|None|None|None|0.00|USD|None|None|50.69|None|-20.96%|53.33|None|None
22.58|27.62|None|-2.58|26.14|None|-27.02%|None|23.19|None|None|0.54|0.98|-18.25|1.47|466506|23.56|41.81|108.34M|+0.16 - +0.68%|None|10.10|8/14/2015|0.83|1.58|12.34|2015-08-14 14:03:00 UTC+0000|23.50|None|23.40|None|1.80|21248|None|+0.68%|None|23.58|None|13.09|None|+0.16|688.07M|Zumiez Inc.|None|23.19 - 23.82|None|ZUMZ|None|None|10:03am|NMS|None|None|None|None|None|16.06|None|None|+0.68%|None|-9.88%|1.90|-8.72|23.82|+4.34%|None|10:03am - <b>23.56</b>|None|22.58 - 41.81|None|None|None|1.11|USD|None|None|32.28|None|-43.65%|23.30|14.91|None
20.61|42.40|None|-0.49|33.38|None|-2.33%|None|32.71|None|None|0.72|12.28|-4.52|0.94|579164|32.89|37.41|296.82M|-0.16 - -0.48%|None|3.20|8/14/2015|2.59|2.72|12.42|2015-08-14 14:05:00 UTC+0000|32.86|None|33.05|None|3.16|25037|None|-0.48%|None|32.89|None|10.41|None|-0.16|3.14B|Microsemi Corporation|None|32.71 - 33.39|None|MSCC|None|None|10:05am|NMS|None|None|None|None|None|34.88|None|None|-0.48%|None|-1.48%|2.66|-0.78|33.39|+59.58%|None|10:05am - <b>32.89</b>|None|20.61 - 37.41|None|None|None|0.83|USD|None|None|33.67|None|-12.08%|32.82|12.09|None
26.51|34.50|0.76|0.78|28.68|None|-3.23%|None|29.31|2.60|None|0.30|2.95|-4.13|0.96|455817|29.46|33.59|201.99M|-0.02 - -0.07%|None|4.90|8/14/2015|3.07|0.80|8.69|2015-08-14 14:04:00 UTC+0000|29.45|None|29.48|None|1.12|13055|None|-0.07%|None|29.47|None|26.30|None|-0.02|3.80B|National Instruments Corporatio|None|29.31 - 29.53|None|NATI|None|None|10:04am|NMS|8/31/2015|None|None|None|8/6/2015|30.75|None|None|-0.07%|None|+2.72%|3.39|-0.98|29.53|+11.13%|None|10:04am - <b>29.46</b>|None|26.51 - 33.59|None|None|None|1.86|USD|None|None|30.44|None|-12.30%|29.49|36.82|None
17.32|59.75|None|-2.20|49.37|None|+0.72%|None|46.52|None|None|-0.80|29.85|-11.56|3.78|460295|47.17|58.73|134.12M|-0.13 - -0.27%|None|9.70|8/14/2015|6.21|-1.55|7.88|2015-08-14 14:04:00 UTC+0000|47.10|None|47.30|None|-3.28|28158|None|-0.27%|None|47.29|None|None|None|-0.13|1.35B|NewLink Genetics Corporation|None|46.52 - 47.65|None|NLNK|None|None|10:04am|NGM|None|None|None|None|None|12.48|None|None|-0.27%|None|-4.46%|6.00|0.34|47.65|+172.34%|None|10:04am - <b>47.17</b>|None|17.32 - 58.73|None|None|None|0.00|USD|None|None|46.83|None|-19.68%|47.28|None|None
60.78|79.45|1.44|0.26|77.03|None|+5.24%|None|76.84|1.90|None|1.01|16.51|-1.96|3.86|1081420|77.29|79.25|0.00|+0.30 - +0.39%|None|2.60|8/14/2015|3.89|3.92|35.91|2015-08-14 14:05:00 UTC+0000|77.29|None|76.99|None|4.53|57831|None|+0.39%|None|77.38|None|17.06|None|+0.30|18.00B|Northern Trust Corporation|None|76.84 - 77.58|None|NTRS|None|None|10:05am|NMS|10/1/2015|None|None|None|6/3/2015|20.02|None|None|+0.39%|None|+0.33%|2.14|3.85|77.58|+27.16%|None|10:05am - <b>77.29</b>|None|60.78 - 79.25|None|None|None|1.53|USD|None|None|73.44|None|-2.47%|76.84|19.72|None
15.25|20.00|0.52|-0.09|18.24|None|+4.65%|None|18.15|2.80|None|0.34|2.90|-0.94|1.24|27294|18.15|19.09|0.00|+0.03 - +0.17%|None|8.10|8/14/2015|3.38|1.31|13.51|2015-08-14 14:04:00 UTC+0000|18.02|None|18.12|None|1.43|4797|None|+0.17%|None|18.22|None|12.69|None|+0.03|297.66M|OceanFirst Financial Corp.|None|18.15 - 18.35|None|OCFC|None|None|10:04am|NMS|8/14/2015|None|None|None|7/30/2015|14.64|None|None|+0.17%|None|-0.50%|1.34|0.81|18.35|+19.02%|None|10:04am - <b>18.15</b>|None|15.25 - 19.09|None|None|None|1.41|USD|None|None|17.34|None|-4.92%|18.18|13.85|None
